player,team,number,position,height,weight,last_attended,country,birthdate,profile_url,is_active,is_free_agent,is_retired,experience,headshot_url,legacy,pid,position_list,position_primary,position_alt,draft_year,draft_round,draft_pick,draft_status,player_id
Lewis Brown,RET,4,CENTER,83.0,225.0,UNLV,USA,1955-02-19,https://www.nba.com/player/76279/HISTADD-lewis-brown,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76279.png,True,76279,['CENTER'],CENTER,,1977,1,69,Drafted,brownle02
Lorenzo Brown,RET,,GUARD,77.0,189.0,North Carolina State,USA,1990-08-26,https://www.nba.com/player/203485/lorenzo-brown,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203485.png,False,203485,['GUARD'],GUARD,,2013,2,52,Drafted,brownlo01
Marcus Brown,RET,,NAN,,,Murray State,USA,1974-04-03,https://www.nba.com/player/992/marcus-brown,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/992.png,False,992,['NAN'],NAN,,1996,2,46,Drafted,brownma01
Markel Brown,RET,26,GUARD,75.0,190.0,Oklahoma State,USA,1992-01-29,https://www.nba.com/player/203900/markel-brown,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203900.png,False,203900,['GUARD'],GUARD,,2014,2,44,Drafted,brownma02
Mike Brown,RET,52,CENTER-FORWARD,82.0,260.0,George Washington,USA,1963-07-19,https://www.nba.com/player/1479/mike-brown,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1479.png,False,1479,"['CENTER', 'FORWARD']",CENTER,FORWARD,1985,3,69,Drafted,brownmi01
Moses Brown,RET,,CENTER,86.0,258.0,UCLA,USA,1999-10-13,https://www.nba.com/player/1629650/moses-brown,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629650.png,False,1629650,['CENTER'],CENTER,,0,0,0,UDF,brownmo01
Myron Brown,RET,34,FORWARD,75.0,180.0,Slippery Rock,USA,1969-11-03,https://www.nba.com/player/76277/HISTADD-myron-brown,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76277.png,True,76277,['FORWARD'],FORWARD,,1991,1,34,Drafted,brownmy01
P.J. Brown,RET,93,FORWARD-CENTER,83.0,239.0,Louisiana Tech,USA,1969-10-14,https://www.nba.com/player/136/p.j.-brown,False,False,True,16.0,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,False,136,"['FORWARD', 'CENTER']",FORWARD,CENTER,0,0,0,UDF,brownpj01
Randy Brown,RET,0,GUARD,74.0,190.0,New Mexico State,USA,1968-05-22,https://www.nba.com/player/753/randy-brown,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/753.png,False,753,['GUARD'],GUARD,,1991,2,31,Drafted,brownra01
Raymond Brown,RET,24,FORWARD,80.0,220.0,Idaho,USA,1965-07-05,https://www.nba.com/player/76282/HISTADD-raymond-brown,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76282.png,True,76282,['FORWARD'],FORWARD,,0,0,0,UDF,brownra02
Rickey Brown,RET,31,CENTER,82.0,215.0,Mississippi State,USA,1958-08-20,https://www.nba.com/player/76283/HISTADD-rickey-brown,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76283.png,True,76283,['CENTER'],CENTER,,1980,1,13,Drafted,brownri01
Roger Brown,RET,35,CENTER,83.0,225.0,Kansas,USA,1950-02-23,https://www.nba.com/player/76286/HISTADD-roger-brown,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76286.png,True,76286,['CENTER'],CENTER,,1971,1,64,Drafted,brownro01
Shannon Brown,RET,,GUARD,75.0,215.0,Michigan State,USA,1985-11-29,https://www.nba.com/player/200769/shannon-brown,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200769.png,False,200769,['GUARD'],GUARD,,2006,1,25,Drafted,brownsh01
Stan Brown,RET,14,FORWARD,75.0,200.0,South Philadelphia HS (PA),USA,1929-06-27,https://www.nba.com/player/76285/HISTADD-stan-brown,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76285.png,True,76285,['FORWARD'],FORWARD,,0,0,0,UDF,brownst01
Sterling Brown,RET,,GUARD-FORWARD,77.0,219.0,Southern Methodist,USA,1995-02-10,https://www.nba.com/player/1628425/sterling-brown,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628425.png,False,1628425,"['GUARD', 'FORWARD']",GUARD,FORWARD,2017,2,46,Drafted,brownst02
Tierre Brown,RET,,GUARD,74.0,189.0,McNeese State,USA,1979-06-03,https://www.nba.com/player/2357/tierre-brown,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2357.png,False,2357,['GUARD'],GUARD,,0,0,0,UDF,brownti01
Tony Brown,RET,21,FORWARD,78.0,185.0,Arkansas,USA,1960-07-29,https://www.nba.com/player/76268/HISTADD-tony-brown,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76268.png,True,76268,['FORWARD'],FORWARD,,1982,1,82,Drafted,brownto01
Greg Brown III,RET,36,FORWARD,79.0,206.0,Texas,USA,2001-09-01,https://www.nba.com/player/1630535/greg-brown-iii,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630535.png,False,1630535,['FORWARD'],FORWARD,,2021,2,43,Drafted,browngr01
Charlie Brown Jr.,RET,4,GUARD,78.0,199.0,St. Joseph's (PA),USA,1997-02-02,https://www.nba.com/player/1629718/charles-brown,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629718.png,False,1629718,['GUARD'],GUARD,,0,0,0,UDF,brownch02
Chaundee Brown Jr.,RET,38,FORWARD,77.0,215.0,Michigan,USA,1998-12-04,https://www.nba.com/player/1630602/chaundee-brown,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630602.png,False,1630602,['FORWARD'],FORWARD,,0,0,0,UDF,brownch03
Troy Brown Jr.,RET,7,GUARD-FORWARD,79.0,215.0,Oregon,USA,1999-07-28,https://www.nba.com/player/1628972/troy-brown-jr,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628972.png,False,1628972,"['GUARD', 'FORWARD']",GUARD,FORWARD,2018,1,15,Drafted,browntr01
Jim Browne,RET,,CENTER,82.0,235.0,Tilden Tech HS (IL),USA,1930-01-01,https://www.nba.com/player/76287/HISTADD-jim-browne,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76287.png,True,76287,['CENTER'],CENTER,,0,0,0,UDF,brownji01
Stanley Brundy,RET,21,FORWARD,78.0,210.0,DePaul,USA,1967-11-13,https://www.nba.com/player/76288/HISTADD-marla-brumfield,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76288.png,True,76288,['FORWARD'],FORWARD,,1989,1,32,Drafted,brundst01
Jalen Brunson,NYK,11,GUARD,74.0,190.0,Villanova,USA,1996-08-31,https://www.nba.com/player/1628973/jalen-brunson,True,False,False,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628973.png,False,1628973,['GUARD'],GUARD,,2018,2,33,Drafted,brunsja01
Rick Brunson,RET,9,GUARD,76.0,190.0,Temple,USA,1972-06-14,https://www.nba.com/player/1594/rick-brunson,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1594.png,False,1594,['GUARD'],GUARD,,0,0,0,UDF,brunsri01
Nicolas Brussino,RET,,FORWARD,80.0,195.0,Penarol,Argentina,1993-03-02,https://www.nba.com/player/1627852/nicolas-brussino,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627852.png,False,1627852,['FORWARD'],FORWARD,,0,0,0,UDF,brussni01
Elijah Bryant,RET,3,GUARD,77.0,210.0,Brigham Young,USA,1995-04-19,https://www.nba.com/player/1629091/elijah-bryant,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629091.png,False,1629091,['GUARD'],GUARD,,0,0,0,UDF,bryanel01
Emmette Bryant,RET,7,GUARD,73.0,175.0,DePaul,USA,1938-11-04,https://www.nba.com/player/76289/HISTADD-emmette-bryant,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76289.png,True,76289,['GUARD'],GUARD,,1964,1,53,Drafted,bryanem01
Joe Bryant,RET,22,FORWARD,82.0,185.0,La Salle,USA,1954-10-19,https://www.nba.com/player/76290/HISTADD-joe-bryant,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76290.png,True,76290,['FORWARD'],FORWARD,,1975,1,14,Drafted,bryanjo01
Kobe Bryant,RET,24,FORWARD-GUARD,78.0,212.0,Lower Merion HS (PA),USA,1978-08-23,https://www.nba.com/player/977/kobe-bryant,False,False,True,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,False,977,"['FORWARD', 'GUARD']",FORWARD,GUARD,1996,1,13,Drafted,bryanko01
Mark Bryant,RET,9,FORWARD,81.0,250.0,Seton Hall,USA,1965-04-25,https://www.nba.com/player/95/mark-bryant,False,False,True,16.0,https://cdn.nba.com/headshots/nba/latest/1040x760/95.png,False,95,['FORWARD'],FORWARD,,1988,1,21,Drafted,bryanma01
Thomas Bryant,IND,3,CENTER-FORWARD,82.0,248.0,Indiana,USA,1997-07-31,https://www.nba.com/player/1628418/thomas-bryant,True,False,False,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628418.png,False,1628418,"['CENTER', 'FORWARD']",CENTER,FORWARD,2017,2,42,Drafted,bryanth01
Wallace Bryant,RET,31,CENTER,84.0,245.0,San Francisco,USA,1959-07-14,https://www.nba.com/player/76291/HISTADD-wallace-bryant,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76291.png,True,76291,['CENTER'],CENTER,,1982,1,30,Drafted,bryanwa01
Torgeir Bryn,RET,12,FORWARD,81.0,250.0,Texas State,Norway,1964-08-08,https://www.nba.com/player/76292/HISTADD-torgeir-bryn,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76292.png,True,76292,['FORWARD'],FORWARD,,0,0,0,UDF,brynto010
Shaq Buchanan,RET,,GUARD,75.0,190.0,Murray State,USA,1997-01-30,https://www.nba.com/player/1629783/shaq-buchanan,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629783.png,False,1629783,['GUARD'],GUARD,,0,0,0,UDF,buchash01
Joe Buckhalter,RET,21,FORWARD,79.0,210.0,Tennessee State,USA,1937-08-01,https://www.nba.com/player/76293/HISTADD-joe-buckhalter,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76293.png,True,76293,['FORWARD'],FORWARD,,1958,1,81,Drafted,buckhjo01
Steve Bucknall,RET,24,FORWARD,78.0,215.0,North Carolina,USA,1966-03-17,https://www.nba.com/player/76294/HISTADD-steve-bucknall,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76294.png,True,76294,['FORWARD'],FORWARD,,0,0,0,UDF,bucknst01
Cleveland Buckner,RET,12,FORWARD,81.0,210.0,Jackson State,USA,1938-08-17,https://www.nba.com/player/76295/HISTADD-cleveland-buckner,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76295.png,True,76295,['FORWARD'],FORWARD,,1961,1,51,Drafted,buckncl01
Greg Buckner,RET,7,GUARD,76.0,210.0,Clemson,USA,1976-09-16,https://www.nba.com/player/1761/greg-buckner,False,False,True,11.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1761.png,False,1761,['GUARD'],GUARD,,1998,2,53,Drafted,buckngr01
Quinn Buckner,RET,25,GUARD,75.0,190.0,Indiana,USA,1954-08-20,https://www.nba.com/player/76296/HISTADD-quinn-buckner,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76296.png,True,76296,['GUARD'],GUARD,,1976,1,7,Drafted,bucknqu01
Dave Budd,RET,10,FORWARD,78.0,205.0,Wake Forest,USA,1938-10-28,https://www.nba.com/player/76297/HISTADD-dave-budd,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76297.png,True,76297,['FORWARD'],FORWARD,,1960,1,10,Drafted,buddda010
Chase Budinger,RET,10,FORWARD,79.0,209.0,Arizona,USA,1988-05-22,https://www.nba.com/player/201978/chase-budinger,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201978.png,False,201978,['FORWARD'],FORWARD,,2009,2,44,Drafted,budinch01
Walter Budko,RET,19,FORWARD,77.0,220.0,Columbia,USA,1925-06-30,https://www.nba.com/player/76298/HISTADD-walt-budko,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76298.png,True,76298,['FORWARD'],FORWARD,,1948,1,6,Drafted,budkowa01
Jud Buechler,RET,30,GUARD-FORWARD,78.0,228.0,Arizona,USA,1968-06-19,https://www.nba.com/player/146/jud-buechler,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/146.png,False,146,"['GUARD', 'FORWARD']",GUARD,FORWARD,1990,2,38,Drafted,buechju01
Kobe Bufkin,ATL,4,GUARD,76.0,195.0,Michigan,USA,2003-09-21,https://www.nba.com/player/1641723/kobe-bufkin,True,False,False,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641723.png,False,1641723,['GUARD'],GUARD,,2023,1,15,Drafted,bufkiko01
Rodney Buford,RET,2,FORWARD-GUARD,77.0,195.0,Creighton,USA,1977-11-02,https://www.nba.com/player/1934/rodney-buford,False,False,True,6.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1934.png,False,1934,"['FORWARD', 'GUARD']",FORWARD,GUARD,1999,2,53,Drafted,buforro01
Matt Bullard,RET,50,FORWARD,82.0,229.0,Iowa,USA,1967-06-05,https://www.nba.com/player/672/matt-bullard,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/672.png,False,672,['FORWARD'],FORWARD,,0,0,0,UDF,bullama01
Reggie Bullock Jr.,RET,25,GUARD-FORWARD,78.0,205.0,North Carolina,USA,1991-03-16,https://www.nba.com/player/203493/reggie-bullock,False,False,True,12.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203493.png,False,203493,"['GUARD', 'FORWARD']",GUARD,FORWARD,2013,1,25,Drafted,bullore01
Greg Bunch,RET,30,FORWARD,78.0,190.0,California State-Fullerton,USA,1956-05-15,https://www.nba.com/player/76300/HISTADD-greg-bunch,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76300.png,True,76300,['FORWARD'],FORWARD,,1978,1,34,Drafted,bunchgr01
Dick Bunt,RET,,GUARD,72.0,170.0,New York University,USA,1930-07-13,https://www.nba.com/player/76301/HISTADD-dick-bunt,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76301.png,True,76301,['GUARD'],GUARD,,1952,1,,Drafted,buntdi010
Bill Buntin,RET,17,CENTER,79.0,250.0,Michigan,USA,1942-05-05,https://www.nba.com/player/76302/HISTADD-bill-buntin,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76302.png,True,76302,['CENTER'],CENTER,,1965,1,,Drafted,buntibi01
Luther Burden,RET,14,GUARD,74.0,185.0,Utah,USA,1953-02-28,https://www.nba.com/player/76303/HISTADD-ticky-burden,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76303.png,True,76303,['GUARD'],GUARD,,1975,1,26,Drafted,burdelu01
Pat Burke,RET,11,CENTER-FORWARD,83.0,250.0,Auburn,Ireland,1973-12-14,https://www.nba.com/player/2469/pat-burke,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2469.png,False,2469,"['CENTER', 'FORWARD']",CENTER,FORWARD,0,0,0,UDF,burkepa01
Trey Burke,RET,3,GUARD,72.0,185.0,Michigan,USA,1992-11-12,https://www.nba.com/player/203504/trey-burke,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203504.png,False,203504,['GUARD'],GUARD,,2013,1,9,Drafted,burketr01
Roger Burkman,RET,21,GUARD,77.0,175.0,Louisville,USA,1958-05-22,https://www.nba.com/player/76304/HISTADD-roger-burkman,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76304.png,True,76304,['GUARD'],GUARD,,1981,1,130,Drafted,burkmro01
Alec Burks,MIA,18,GUARD,77.0,214.0,Colorado,USA,1991-07-20,https://www.nba.com/player/202692/alec-burks,True,False,False,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png,False,202692,['GUARD'],GUARD,,2011,1,12,Drafted,burksal01
Antonio Burks,RET,1,GUARD,72.0,195.0,Memphis,USA,1980-02-25,https://www.nba.com/player/2766/antonio-burks,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2766.png,False,2766,['GUARD'],GUARD,,2004,2,36,Drafted,burksan01
Kevin Burleson,RET,12,GUARD,75.0,205.0,Minnesota,USA,1979-04-09,https://www.nba.com/player/101207/kevin-burleson,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101207.png,False,101207,['GUARD'],GUARD,,0,0,0,UDF,burleke01
Tom Burleson,RET,16,CENTER,86.0,225.0,North Carolina State,USA,1952-02-24,https://www.nba.com/player/76305/HISTADD-tom-burleson,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76305.png,True,76305,['CENTER'],CENTER,,1974,1,3,Drafted,burleto01
Jack Burmaster,RET,,GUARD,75.0,190.0,Illinois,USA,1926-12-23,https://www.nba.com/player/76306/HISTADD-jack-burmaster,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76306.png,True,76306,['GUARD'],GUARD,,1948,1,,Drafted,burmaja01
David Burns,RET,5,GUARD,74.0,180.0,St. Louis,USA,1958-07-03,https://www.nba.com/player/76307/HISTADD-david-burns,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76307.png,True,76307,['GUARD'],GUARD,,1981,1,49,Drafted,burnsda01
Evers Burns,RET,53,FORWARD,80.0,260.0,Maryland,USA,1971-08-24,https://www.nba.com/player/76308/HISTADD-evers-burns,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76308.png,True,76308,['FORWARD'],FORWARD,,1993,1,31,Drafted,burnsev01
Jim Burns,RET,6,GUARD,75.0,195.0,Northwestern,USA,1945-09-21,https://www.nba.com/player/76309/HISTADD-jim-burns,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76309.png,True,76309,['GUARD'],GUARD,,1967,1,34,Drafted,burnsji01
Scott Burrell,RET,2,GUARD,79.0,218.0,Connecticut,USA,1971-01-12,https://www.nba.com/player/197/scott-burrell,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/197.png,False,197,['GUARD'],GUARD,,1993,1,20,Drafted,burresc01
Art Burris,RET,15,FORWARD,77.0,220.0,Tennessee,USA,1924-04-07,https://www.nba.com/player/76311/HISTADD-art-burris,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76311.png,True,76311,['FORWARD'],FORWARD,,1950,1,,Drafted,burriar01
Junior Burrough,RET,5,FORWARD,80.0,242.0,Virginia,USA,1973-01-18,https://www.nba.com/player/675/junior-burrough,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/675.png,False,675,['FORWARD'],FORWARD,,1995,2,33,Drafted,burroju01
Bob Burrow,RET,50,CENTER,79.0,228.0,Kentucky,USA,1934-06-29,https://www.nba.com/player/76313/HISTADD-bob-burrow,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76313.png,True,76313,['CENTER'],CENTER,,1956,1,,Drafted,burrobo01
Deonte Burton,RET,,GUARD-FORWARD,76.0,240.0,Iowa State,USA,1994-01-31,https://www.nba.com/player/1629126/deonte-burton,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629126.png,False,1629126,"['GUARD', 'FORWARD']",GUARD,FORWARD,0,0,0,UDF,burtode01
Ed Burton,RET,34,FORWARD,78.0,225.0,Michigan State,USA,1939-08-13,https://www.nba.com/player/76314/HISTADD-ed-burton,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76314.png,True,76314,['FORWARD'],FORWARD,,0,0,0,UDF,burtoed01
Willie Burton,RET,,FORWARD,80.0,210.0,Minnesota,USA,1968-05-26,https://www.nba.com/player/416/willie-burton,False,False,True,8.0,https://cdn.nba.com/headshots/nba/latest/1040x760/416.png,False,416,['FORWARD'],FORWARD,,1990,1,9,Drafted,burtowi01
Steve Burtt,RET,15,GUARD,74.0,185.0,Iona,USA,1962-11-05,https://www.nba.com/player/76316/HISTADD-steve-burtt,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76316.png,True,76316,['GUARD'],GUARD,,1984,1,30,Drafted,burttst01
Don Buse,RET,10,GUARD,76.0,190.0,Evansville,USA,1950-08-10,https://www.nba.com/player/76317/HISTADD-don-buse,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76317.png,True,76317,['GUARD'],GUARD,,1972,1,34,Drafted,busedo010
Brian Butch,RET,43,CENTER,83.0,240.0,Wisconsin,USA,1984-12-22,https://www.nba.com/player/202221/brian-butch,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202221.png,False,202221,['CENTER'],CENTER,,0,0,0,UDF,butchbr01
Donnie Butcher,RET,24,GUARD,74.0,200.0,Pikeville,USA,1936-02-08,https://www.nba.com/player/76318/HISTADD-donnie-butcher,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76318.png,True,76318,['GUARD'],GUARD,,1961,1,60,Drafted,butchdo01
Al Butler,RET,20,GUARD,74.0,175.0,Niagara,USA,1938-07-09,https://www.nba.com/player/76319/HISTADD-al-butler,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76319.png,True,76319,['GUARD'],GUARD,,1961,1,17,Drafted,butleal01
Caron Butler,RET,31,FORWARD,79.0,228.0,Connecticut,USA,1980-03-13,https://www.nba.com/player/2406/caron-butler,False,False,True,15.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2406.png,False,2406,['FORWARD'],FORWARD,,2002,1,10,Drafted,butleca01
Da'Sean Butler,RET,1,FORWARD,79.0,230.0,West Virginia,USA,1988-01-25,https://www.nba.com/player/202364/da'sean-butler,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png,False,202364,['FORWARD'],FORWARD,,0,0,0,UDF,butleda01
Greg Butler,RET,45,CENTER,83.0,240.0,Stanford,USA,1966-03-11,https://www.nba.com/player/76320/HISTADD-gregory-butler,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76320.png,True,76320,['CENTER'],CENTER,,1988,1,37,Drafted,butlegr01
Jackie Butler,RET,45,CENTER,82.0,260.0,Coastal Christian Academy (VA),USA,1985-03-10,https://www.nba.com/player/2866/jackie-butler,False,False,True,4.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2866.png,False,2866,['CENTER'],CENTER,,0,0,0,UDF,butleja01
Jared Butler,PHI,12,GUARD,75.0,193.0,Baylor,USA,2000-08-25,https://www.nba.com/player/1630215/jared-butler,True,False,False,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630215.png,False,1630215,['GUARD'],GUARD,,2021,2,40,Drafted,butleja02
Mitchell Butler,RET,32,GUARD,77.0,210.0,UCLA,USA,1970-12-15,https://www.nba.com/player/348/mitchell-butler,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/348.png,False,348,['GUARD'],GUARD,,0,0,0,UDF,butlemi01
Rasual Butler,RET,,FORWARD,79.0,215.0,La Salle,USA,1979-05-23,https://www.nba.com/player/2446/rasual-butler,False,False,True,14.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2446.png,False,2446,['FORWARD'],FORWARD,,2002,2,52,Drafted,butlera01
